#ID, X, Y, Yerr, Xerr
1,176.58680339,-20.888275,0.02,1.0914758891
2,-249.966510869,-21.996269,0.01,8.06552955651
3,-120.952286788,-20.94803,0.078504,1.77619707324
5,-171.961656166,-20.892767,0.01,6.22144829933
6,255.892053905,-22.14235,0.036038,5.01198196099
7,300.749633081,-21.541043,0.05314,8.82369968883
8,189.989380107,-21.545865,0.06,4.99007868456
10,260.574876813,-22.12339,0.03,1.47625777206
12,208.419874262,-20.607976,0.02,6.00973898511
13,181.308753799,-20.800232,0.074028,0.505351926938
14,219.518001897,-20.643577,0.055072,2.46019544576
17,119.761566534,-21.319426,0.07,2.41061950204
20,222.785640512,-22.129677,0.24,0.36791525045
22,231.641426036,-22.534468,0.446088,1.89218944008
23,127.930865031,-21.8108,0.01,1.16785816028
25,249.16891865,-22.121831,0.04,5.34540328943
26,197.936188794,-21.54243,0.199149,6.25403019682
30,143.861418393,-21.108994,0.03,2.14129877976
31,-221.755101298,-21.668104,0.04,3.89656283706
33,190.789944441,-22.018713,0.01,4.29516174779
37,169.531417335,-21.055569,0.060188,3.00216362145
39,123.902358998,-20.100908,0.074106,4.50184623529
40,164.173173392,-19.58242,0.254168,1.9234551051
41,115.103547588,-20.093632,0.112357,0.963631369347
42,190.89539497,-21.569279,0.079404,1.1153034009
43,202.290240615,-20.98189,0.089544,0.406721712389
44,276.413321893,-22.380029,0.219346,0.741289101609
45,141.697944667,-21.238533,0.181122,0.693736333048
47,181.225905846,-21.207369,0.245266,0.962151255184
53,145.449566791,-20.798755,0.31,4.35766265291
61,371.379729059,-20.5783,0.082356,1.07870781755
73,90.0424444755,-21.547608,0.08539,2.07920892237
77,-151.223586198,-20.610858,0.02,3.32861009868
78,-266.526853498,-21.314118,0.233959,11.5826201458
100,56.4650923102,-19.545873,0.02,2.10242448216
104,367.698254648,-21.978599,0.157296,9.26263473309
119,241.739183769,-22.480393,0.137359,0.537471447773
127,278.402815317,-22.020641,0.03,0.977261098588
131,184.048866062,-20.174954,0.161166,2.64184074235
134,252.915800797,-21.693775,0.09763,0.273744150954
146,-289.532293552,-20.988872,0.496991,2.49075067041
147,171.828212673,-21.398021,0.423102,3.32265661923
151,229.218063109,-21.745253,0.141847,7.6928055286
152,116.619131319,-20.210653,0.110376,3.37703884915
153,196.979347531,-21.029148,0.02,10.0502677431
155,207.535130262,-22.022066,0.281612,3.52102315479
156,247.417284488,-21.668798,0.07852,9.40757677708
157,160.492698861,-20.597207,0.111271,0.940616161503
159,182.583509578,-20.317501,0.1,3.44742760742
165,235.650284958,-21.623951,0.089779,14.5855425901
171,72.9021156861,-22.912629,0.045549,1.64250246816
186,143.965658746,-20.599303,0.173284,3.28318646721
213,101.521233632,-21.382569,0.067693,3.13971498669
231,132.171060108,-18.115308,0.03,2.23680560208
